date,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Baltimore-Columbia-Towson, MD Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Cincinnati, OH-KY-IN Metro Area","Cleveland-Elyria, OH Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Denver-Aurora-Lakewood, CO Metro Area","Detroit-Warren-Dearborn, MI Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","Kansas City, MO-KS Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Phoenix-Mesa-Scottsdale, AZ Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area","San Diego-Carlsbad, CA Metro Area","San Francisco-Oakland-Hayward, CA Metro Area","St. Louis, MO-IL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",All Cities Average
1987-05-01,17.42050872597991,,28.63173224407215,20.756507849064207,19.849498683695078,17.8394675421398,20.037438111417586,17.85300484472327,15.987740762644197,16.16751610794218,19.23322161968394,26.27819407207346,12.635188022310597,15.61908487340416,18.855287427196373,32.90131570869173,14.791320796717407,,14.264000470508137,15.63484553115613,,20.95663468187183,26.880760871025924,18.01047225601594,,,19.55255910487305
1987-06-01,17.42050872597991,,28.43243944422942,20.688897074311555,19.849498683695078,17.86955096126651,20.235828587768257,17.85300484472327,16.17272288717066,16.495352613866302,19.23322161968394,26.25796451543599,12.670680123496862,15.61908487340416,18.855287427196373,32.772189665878976,14.756653638600097,,14.25186089563962,15.63484553115613,,20.95663468187183,26.779476918987402,17.965891879144618,,,19.56055217111938
1987-07-01,17.636154402139418,,29.16513592096441,21.130441110660005,20.26885428968864,18.395262884368165,19.766823968293085,17.673577660354194,16.334886829173954,15.924092421696487,19.464298468724817,27.405581072203155,12.701639832791525,15.949966986850333,19.116770233171113,33.664829453863334,15.302737375632457,,14.470047934931882,15.587601427568123,,21.47998780362642,28.073185993308527,17.976909164149635,,,19.880418344483793
1987-08-01,17.685997034836667,,28.921354389710153,21.028443808436382,20.44427101376438,18.426441296036586,19.854832979728045,17.4589924466155,16.176295694910127,16.043693974219956,19.453081145955842,27.0510187600057,12.713389730879214,16.061066090635176,19.031194042124838,33.50849123658533,15.128048592805602,,14.372606534696649,15.556597484588492,,21.72337514250691,28.073185993308527,17.889002517870175,,,19.838160948105727
1987-09-01,17.735839667533913,,27.924066307306347,20.89396934763103,20.619687737840113,18.536403008800658,19.388676031508343,17.244407232876807,16.176295694910127,16.043693974219956,19.441863823186864,26.82644426463962,12.713389730879214,16.172165194420018,18.94561785107856,33.45670067825984,15.185833346788817,,14.421162637854408,15.525593541608862,,21.966762481387402,27.92664438111378,17.93284811227672,,,19.7656221450534
1987-10-01,17.735839667533913,,27.944748470388966,21.22045846566984,20.619687737840113,18.4552407922367,18.97499333939771,17.244407232876807,16.205618765638626,15.717738851946102,19.441863823186864,27.92204153234267,12.773698644985451,16.172165194420018,18.94561785107856,33.90937187626723,15.302900176969155,,14.511669955912096,15.525593541608862,,21.966762481387402,29.263755251370863,18.014939857881892,,,19.898529214806658
1987-11-01,17.29210751512404,,28.088265153655815,21.153038422887725,20.19330875235955,18.269449777549752,19.176676173828863,17.32286222483712,16.114939843688607,15.73473100205631,19.13982342037366,27.838065467583746,12.773698644985451,15.76224113797928,18.69674273973434,33.93541594068834,15.429370426365596,,14.499444454685545,15.256051987067039,,21.659648068476166,29.263755251370863,18.059130225480953,,,19.793274601465654
1987-12-01,17.29210751512404,,27.98560336581351,20.72503920187988,20.19330875235955,18.13254299320509,19.452351662401426,17.32286222483712,16.244794314628887,15.68386441476518,19.13982342037366,27.692316433722052,12.785460798433872,15.76224113797928,18.69674273973434,33.62550346634414,15.314311735639526,,14.450747747868801,15.256051987067039,,21.659648068476166,29.11246552702846,18.19301175104053,15.62255123837706,,19.5610613862318
1988-01-01,17.559879310781504,,28.30265120496507,21.176392521910376,20.445624453904383,18.42026013280567,19.44792510772822,17.451955545691504,16.369096195656393,15.764333693637829,19.36289313713546,28.970797607321764,12.623137403265803,15.821090604593598,19.06035567883833,34.00885043243308,15.722764520289223,,14.391536754948541,15.453353534256191,,22.27001345531679,30.187464926413902,18.07390856445434,15.766946756504598,,19.847783251947842
1988-02-01,17.681864239914347,,28.365360181046963,21.0781261993029,20.660361221176586,18.282795504948908,19.64275860152149,17.437341207481573,16.329873121705145,15.679761087985263,19.40485674721936,28.776940969057158,12.600248668173753,16.00352395109799,19.18586079007745,34.00885043243308,15.828286429821366,,14.488205347760958,15.486720707677886,,22.62097355275015,30.23143792703504,17.95635468761236,15.86958935372779,,19.891822314978526
